Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
u,<space>_u,0.10153317451477051,0.15595293045043945,0.05233907699584961,0,108.91
s,u_s,0.0018243789672851562,0.054163455963134766,0.06074118614196777,0,108.91
e,s_e,0.07501029968261719,0.13575148582458496,0.045888423919677734,0,108.91
r,e_r,0.08173871040344238,0.12762713432312012,0.05777335166931152,0,108.91
<space>,r_<space>,0.00099945068359375,0.05877280235290527,0.051759958267211914,0,108.91
1,<space>_1,0.05567216873168945,0.10743212699890137,0.0906991958618164,0,108.91
<space>,1_<space>,0.10310697555541992,0.19380617141723633,0.08711934089660645,0,108.91
c,<space>_c,0.14659380912780762,0.23371315002441406,0.07351088523864746,0,108.91
a,c_a,0.07082462310791016,0.14433550834655762,0.0888516902923584,0,108.91
n,a_n,0.10747170448303223,0.03664708137512207,0.055222511291503906,1,108.91
<space>,n_<space>,0.06392908096313477,0.11915159225463867,0.06002545356750488,0,108.91
u,<space>_u,0.10015749931335449,0.16018295288085938,0.04983687400817871,0,108.91
<space>,u_<space>,0.09234237670898438,0.14217925071716309,0.046529531478881836,0,108.91
p,<space>_p,0.13721728324890137,0.1837468147277832,0.0493161678314209,0,108.91
r,p_r,0.16999030113220215,0.03277301788330078,0.06479644775390625,1,108.91
e,r_e,0.07543420791625977,0.14023065567016602,0.05755496025085449,0,108.91
d,e_d,0.07835745811462402,0.13591241836547852,0.06977105140686035,0,108.91
i,d_i,0.010978460311889648,0.08074951171875,0.051494598388671875,0,108.91
c,i_c,0.025528430938720703,0.07702302932739258,0.0629880428314209,0,108.91
t,c_t,0.09485673904418945,0.15784478187561035,0.05557870864868164,0,108.91
<space>,t_<space>,0.1358649730682373,0.04100823402404785,0.05455660820007324,1,108.91
t,<space>_t,0.04506349563598633,0.09962010383605957,0.06971383094787598,0,108.91
h,t_h,0.0907602310180664,0.04569673538208008,0.059155941009521484,1,108.91
a,h_a,0.0583195686340332,0.11747550964355469,0.07868099212646484,0,108.91
t,a_t,0.07448720932006836,0.1531682014465332,0.07104802131652832,0,108.91
<space>,t_<space>,0.09222674369812012,0.017739534378051758,0.0562291145324707,1,108.91
i,<space>_i,0.10674738883972168,0.16297650337219238,0.043798208236694336,0,108.91
t,i_t,0.010081291198730469,0.053879499435424805,0.06057882308959961,0,108.91
<space>,s_<space>,0.13006019592285156,0.03954482078552246,0.04526662826538086,1,108.91
s,t_s,0.0905153751373291,0.1510941982269287,0.10927820205688477,0,108.91
m,<space>_m,0.06607198715209961,0.13580536842346191,0.06245279312133789,0,108.91
e,m_e,0.003084421157836914,0.0655372142791748,0.058303117752075195,0,108.91
h,START,0.0,0.0,0.009323596954345703,1,87.63
e,h_e,0.019957304000854492,0.029280900955200195,0.08868551254272461,0,87.63
l,e_l,0.09967231750488281,0.18835783004760742,0.04868817329406738,0,87.63
l,l_l,0.07732200622558594,0.12601017951965332,0.07593750953674316,0,87.63
o,l_o,0.11884164810180664,0.1947791576385498,0.05723261833190918,0,87.63
<space>,o_<space>,0.046097755432128906,0.10333037376403809,0.07345771789550781,0,87.63
m,<space>_m,0.05214643478393555,0.12560415267944336,0.055762529373168945,0,87.63
<space>,y_<space>,0.13388490676879883,0.012180328369140625,0.05408883094787598,1,87.63
y,m_y,0.1217045783996582,0.17746710777282715,0.07318758964538574,0,87.63
n,<space>_n,0.1138923168182373,0.17489957809448242,0.04289364814758301,0,87.63
a,n_a,0.06721878051757812,0.11011242866516113,0.08300518989562988,0,87.63
m,a_m,0.1161656379699707,0.04894685745239258,0.05047941207885742,1,87.63
e,m_e,0.17743515968322754,0.22791457176208496,0.0829925537109375,0,87.63
<space>,e_<space>,0.010921478271484375,0.09391403198242188,0.07006382942199707,0,87.63
i,<space>_i,0.14478063583374023,0.2148444652557373,0.0391697883605957,0,87.63
