Predicted_User,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM,Grid_Distance,Instant_WPM
User_1,e,h_e,0.0592958927154541,0.0606050491333007,0.0650908946990966,0,98.32,3.64,198.00330453665705
User_1,l,e_l,0.1306500434875488,0.1957409381866455,0.0324647426605224,0,98.32,6.58,61.30551999580997
User_1,l,l_l,0.0696713924407959,0.1021361351013183,0.0568945407867431,0,98.32,0.0,117.49024953897155
User_1,o,l_o,0.0789134502410888,0.135807991027832,0.0656664371490478,0,98.32,1.12,88.36004353779714
User_1,<space>,o_<space>,0.0280776023864746,0.0937440395355224,0.0957517623901367,0,98.32,0.0,128.00813853826773
User_1,i,<space>_i,0.0086097717285156,0.1043615341186523,0.0462992191314697,0,98.32,0.0,114.98489459111225
User_1,<space>,i_<space>,0.1087391376495361,0.1550383567810058,0.0495986938476562,0,98.32,0.0,77.40020114474119
User_1,a,<space>_a,0.0473418235778808,0.0969405174255371,0.0903711318969726,0,98.32,0.0,123.78724932242659
User_1,m,a_m,0.0984086990356445,0.0510668754577636,0.0536961555480957,1,98.32,6.28,234.9859844063685
User_1,<space>,m_<space>,0.0773918628692627,0.1310880184173584,0.0514204502105712,0,98.32,0.0,91.54154700694588
User_1,u,<space>_u,0.2504489421844482,0.3018693923950195,0.0447981357574462,0,98.32,0.0,39.75229123029827
User_1,s,u_s,0.0235629081726074,0.0683610439300537,0.0875251293182373,0,98.32,4.61,175.5385715332006
User_1,e,s_e,0.0724461078643798,0.1599712371826172,0.0549554824829101,0,98.32,1.12,75.01348499481347
User_1,r,e_r,0.0910923480987548,0.146047830581665,0.0619337558746337,0,98.32,1.0,82.16486306032465
User_1,<space>,r_<space>,0.0342528820037841,0.0961866378784179,0.0453817844390869,0,98.32,0.0,124.75745347465282
User_1,1,<space>_1,0.0523600578308105,0.0977418422698974,0.0804519653320312,0,98.32,0.0,122.77239431260206
User_1,<space>,1_<space>,0.1484477519989013,0.2288997173309326,0.068350076675415,0,98.32,0.0,52.424704319975014
User_1,c,<space>_c,0.0870516300201416,0.1554017066955566,0.0576121807098388,0,98.32,0.0,77.21922915241133
User_1,a,c_a,0.0739834308624267,0.1315956115722656,0.0735292434692382,0,98.32,2.42,91.18845116966695
User_1,n,a_n,0.1149804592132568,0.04099702835083,0.0372664928436279,1,98.32,5.3,292.7041418053671
User_1,<space>,n_<space>,0.0663607120513916,0.1036272048950195,0.0442574024200439,0,98.32,0.0,115.79970734670215
User_1,y,<space>_y,0.1142811775207519,0.1585385799407959,0.049607515335083,0,98.32,0.0,75.6913554068747
User_1,o,y_o,0.1158957481384277,0.1655032634735107,0.0671138763427734,0,98.32,3.0,72.5061231310441
User_1,u,o_u,0.065432071685791,0.1325459480285644,0.048318862915039,0,98.32,2.0,90.53464235220477
User_1,<space>,u_<space>,0.0975356101989746,0.1458544731140136,0.0469021797180175,0,98.32,0.0,82.27378800113776
User_1,p,<space>_p,0.1234197616577148,0.1703219413757324,0.0357365608215332,0,98.32,0.0,70.45480989162662
User_1,r,p_r,0.0150203704833984,0.0507569313049316,0.0596363544464111,0,98.32,6.0,236.42091220818284
User_1,e,r_e,0.0697357654571533,0.1293721199035644,0.0641961097717285,0,98.32,1.0,92.75568807981928
User_1,d,e_d,0.0799407958984375,0.144136905670166,0.0795314311981201,0,98.32,1.12,83.2541807679711
