SL.no.,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
1262,n,<space>_n,0.1867,0.3277,0.0707,0,84.59
1263,o,n_o,0.1299,0.2006,0.1301,0,84.59
1264,<space>,o_<space>,0.2173,0.0874,0.0968,1,84.59
1265,o,<space>_o,0.0781,0.1748,0.0816,0,84.59
1266,n,o_n,0.1134,0.195,0.0972,0,84.59
1267,e,n_e,0.1948,0.0814,0.0877,1,84.59
1268,<space>,e_<space>,0.0021,0.0898,0.1097,0,84.59
1269,s,<space>_s,0.0339,0.1436,0.0613,0,84.59
1270,a,s_a,0.1111,0.1723,0.0854,0,84.59
1271,y,a_y,0.0192,0.1046,0.0688,0,84.59
1272,s,y_s,0.0523,0.1211,0.0376,0,84.59
1273,<space>,s_<space>,0.0169,0.0545,0.0708,0,84.59
1274,h,START,0.0,0.0,0.055866003036499,1,83.53
1275,e,h_e,0.0302557945251464,0.0861217975616455,0.1093547344207763,0,83.53
1276,y,e_y,0.1275575160980224,0.0973017215728759,0.1409533023834228,1,83.53
1277,<space>,y_<space>,0.1000373363494873,0.1120903491973877,0.09922456741333,0,83.53
1278,i,<space>_i,0.0585830211639404,0.1578075885772705,0.1020319461822509,0,83.53
1279,m,i_m,0.136049747467041,0.238081693649292,0.1029138565063476,0,83.53
1280,<space>,m_<space>,0.2147271633148193,0.0786774158477783,0.0856873989105224,1,83.53
1281,u,<space>_u,0.0720658302307128,0.1577532291412353,0.0985374450683593,0,83.53
1282,s,u_s,0.148888349533081,0.0768225193023681,0.0899899005889892,1,83.53
1283,e,s_e,0.1291322708129882,0.2191221714019775,0.0499804019927978,0,83.53
1284,r,e_r,0.0981059074401855,0.1480863094329834,0.0831439495086669,0,83.53
1285,<space>,r_<space>,0.0402824878692626,0.1234264373779296,0.1236305236816406,0,83.53
1286,2,<space>_2,0.0340535640716552,0.1576840877532959,0.1214616298675537,0,83.53
1287,<space>,2_<space>,0.0020368099212646,0.1234984397888183,0.1076047420501709,0,83.53
1288,a,<space>_a,0.1031355857849121,0.210740327835083,0.0868353843688964,0,83.53
1289,n,a_n,0.0381608009338378,0.1249961853027343,0.1003863811492919,0,83.53
1290,d,n_d,0.0206255912780761,0.1210119724273681,0.0990784168243408,0,83.53
1291,<space>,d_<space>,0.0012197494506835,0.1002981662750244,0.0753908157348632,0,83.53
1292,i,<space>_i,0.0542864799499511,0.1296772956848144,0.1130688190460205,0,83.53
1293,<space>,i_<space>,0.1525535583496093,0.0982670783996582,0.048936128616333,1,83.53
1294,t,<space>_t,0.0201976299285888,0.0691337585449218,0.0909285545349121,0,83.53
1295,h,t_h,0.0970475673675537,0.0768499374389648,0.0796332359313964,1,83.53
1296,i,h_i,0.0809183120727539,0.1605515480041504,0.078212022781372,0,83.53
1297,n,i_n,0.0987079143524169,0.176919937133789,0.0674026012420654,0,83.53
1298,k,n_k,0.1117885112762451,0.1791911125183105,0.0895066261291503,0,83.53
1299,<space>,k_<space>,0.0067944526672363,0.0963010787963867,0.0661442279815673,0,83.53
1300,i,<space>_i,0.0615746974945068,0.1277189254760742,0.1099770069122314,0,83.53
1301,<space>,i_<space>,0.1425015926361084,0.0809268951416015,0.1211380958557128,1,83.53
1302,c,<space>_c,0.0029997825622558,0.1241378784179687,0.0782546997070312,0,83.53
1303,a,c_a,0.1609880924224853,0.2392427921295166,0.1054933071136474,0,83.53
1304,n,a_n,0.2479667663574218,0.0869786739349365,0.145247220993042,1,83.53
1305,<space>,n_<space>,0.064084768295288,0.082599401473999,0.1032016277313232,0,83.53
1306,b,<space>_b,0.141641616821289,0.2448432445526123,0.0989630222320556,0,83.53
1307,e,b_e,0.0274648666381835,0.1264278888702392,0.0996434688568115,0,83.53
1308,<space>,e_<space>,0.113837718963623,0.0863728523254394,0.100428819656372,1,83.53
1309,p,<space>_p,0.1087820529937744,0.2092108726501464,0.1211011409759521,0,83.53
1310,r,p_r,0.1842775344848632,0.0754954814910888,0.0705459117889404,1,83.53
1311,e,r_e,0.0839791297912597,0.1545250415802002,0.0899229049682617,0,83.53
1312,d,e_d,0.0819425582885742,0.1718654632568359,0.0828690528869628,0,83.53
1313,i,d_i,0.0161709785461425,0.0990400314331054,0.1236355304718017,0,83.53
1314,c,i_c,0.096919298171997,0.0807483196258544,0.0886850357055664,1,83.53
1315,t,c_t,0.1245691776275634,0.2132542133331298,0.0738961696624755,0,83.53
1316,e,t_e,0.1108860969543457,0.1847822666168213,0.0628230571746826,0,83.53
1317,d,e_d,0.0966413021087646,0.1594643592834472,0.0794620513916015,0,83.53
1318,<space>,d_<space>,0.0320203304290771,0.1114823818206787,0.0686712265014648,0,83.53
1319,c,<space>_c,0.025576114654541,0.0942473411560058,0.0846991539001464,0,83.53
1320,o,c_o,0.0154428482055664,0.1001420021057128,0.1218116283416748,0,83.53
1321,r,o_r,0.0237979888916015,0.1456096172332763,0.0324711799621582,0,83.53
1322,r,r_r,0.068436861038208,0.1009080410003662,0.0909266471862793,0,83.53
1323,e,r_e,0.0923645496368408,0.1832911968231201,0.0692281723022461,0,83.53
1324,c,e_c,0.1247339248657226,0.1939620971679687,0.0708544254302978,0,83.53
1325,t,c_t,0.1253774166107177,0.1962318420410156,0.0912189483642578,0,83.53
1326,l,t_l,0.2135818004608154,0.0882043838500976,0.1191279888153076,1,83.53
1327,y,l_y,0.0311172008514404,0.150245189666748,0.0976133346557617,0,83.53
1328,<space>,y_<space>,0.0187914371490478,0.1164047718048095,0.0771667957305908,0,83.53
1329,i,<space>_i,0.1423180103302002,0.219484806060791,0.1339466571807861,0,83.53
1330,<space>,i_<space>,0.2104034423828125,0.0680854320526123,0.1743073463439941,1,83.53
1331,r,<space>_r,0.0479989051818847,0.2223062515258789,0.0794348716735839,0,83.53
1332,e,r_e,0.0762469768524169,0.1556818485260009,0.0947041511535644,0,83.53
1333,a,e_a,0.0839598178863525,0.178663969039917,0.0836243629455566,0,83.53
1334,l,a_l,0.0055034160614013,0.089127779006958,0.067981481552124,0,83.53
1335,l,l_l,0.1031813621520996,0.1711628437042236,0.1065406799316406,0,83.53
1336,y,l_y,0.1981756687164306,0.094994306564331,0.0823919773101806,1,83.53
1337,<space>,y_<space>,0.0375332832336425,0.1199252605438232,0.0837147235870361,0,83.53
1338,h,<space>_h,0.0256476402282714,0.1093623638153076,0.0823745727539062,0,83.53
1339,o,h_o,0.1050231456756591,0.0793755054473877,0.0751018524169921,1,83.53
1340,p,o_p,0.0961139202117919,0.1712157726287841,0.1134581565856933,0,83.53
1341,e,p_e,0.2004525661468505,0.1043386459350586,0.0905067920684814,1,83.53
1342,<space>,e_<space>,0.0307352542877197,0.1212420463562011,0.0869803428649902,0,83.53
1343,y,<space>_y,0.0801634788513183,0.1671438217163086,0.0995473861694336,0,83.53
1344,o,y_o,0.0023829936981201,0.1019303798675537,0.0567657947540283,0,83.53
1345,u,o_u,0.1049201488494873,0.1616859436035156,0.106910228729248,0,83.53
1346,<space>,u_<space>,0.1764764785766601,0.0715563297271728,0.0926659107208252,1,83.53
1347,g,<space>_g,0.3447878360748291,0.4374537467956543,0.1132533550262451,0,83.53
1348,e,g_e,0.4425821304321289,0.0977942943572998,0.042224645614624,1,83.53
1349,t,e_t,0.0900139808654785,0.1322386264801025,0.0966758728027343,0,83.53
1350,<space>,t_<space>,0.174678087234497,0.0846641063690185,0.0858480930328369,1,83.53
1351,m,<space>_m,0.3469512462615967,0.4327993392944336,0.1172256469726562,0,83.53
1352,e,m_e,0.4272506237030029,0.0802993774414062,0.075024127960205,1,83.53
1353,<space>,e_<space>,0.0860970020294189,0.161121129989624,0.0922291278839111,0,83.53
1354,r,<space>_r,0.1691029071807861,0.0830059051513671,0.1146173477172851,1,83.53
1355,i,r_i,0.0223088264465332,0.1369261741638183,0.0667357444763183,0,83.53
1356,g,i_g,0.0202929973602294,0.0870287418365478,0.0746901035308837,0,83.53
1357,h,g_h,0.0134158134460449,0.0881059169769287,0.1132066249847412,0,83.53
1358,t,h_t,0.0991063117980957,0.0856904983520507,0.0945572853088378,1,83.53
1359,h,START,0.0,0.0,0.0325796604156494,1,82.66
1360,e,h_e,0.0,0.0265717506408691,0.1170663833618164,1,82.66
1361,y,e_y,0.0050816535949707,0.1221480369567871,0.096041202545166,0,82.66
1362,<space>,y_<space>,0.0981025695800781,0.0930209159851074,0.0753207206726074,1,82.66
1363,i,<space>_i,0.075624942779541,0.1509456634521484,0.1065297126770019,0,82.66
1364,m,i_m,0.1300108432769775,0.2365405559539795,0.1340541839599609,0,82.66
1365,<space>,m_<space>,0.2138190269470214,0.0838081836700439,0.1186575889587402,1,82.66
1366,r,<space>_r,0.1373207569122314,0.2559783458709717,0.0926616191864013,0,82.66
1367,e,r_e,0.0701479911804199,0.1628096103668213,0.0902111530303955,0,82.66
